Kör Core Task 2: Sökning pågår...
------------------------------------------------
Fil: del_01.txt | Datum: 2024-01-01 | Antal: 3
Fil: del_02.txt | Datum: 2024-01-02 | Antal: 3
Fil: del_03.txt | Datum: 2024-01-03 | Antal: 3
Fil: del_04.txt | Datum: 2024-01-04 | Antal: 0
Fil: del_05.txt | Datum: 2024-01-05 | Antal: 0
Fil: del_06.txt | Datum: 2024-01-06 | Antal: 3
Fil: del_07.txt | Datum: 2024-01-07 | Antal: 0
Fil: del_08.txt | Datum: 2024-01-08 | Antal: 0
Fil: del_09.txt | Datum: 2024-01-09 | Antal: 3
Fil: del_10.txt | Datum: 2024-01-10 | Antal: 0
Fil: del_100.txt | Datum: 2024-04-09 | Antal: 0
Fil: del_101.txt | Datum: 2024-04-10 | Antal: 0
Fil: del_102.txt | Datum: 2024-04-11 | Antal: 3
Fil: del_103.txt | Datum: 2024-04-12 | Antal: 3
Fil: del_104.txt | Datum: 2024-04-13 | Antal: 0
Fil: del_105.txt | Datum: 2024-04-14 | Antal: 3
Fil: del_106.txt | Datum: 2024-04-15 | Antal: 3
Fil: del_107.txt | Datum: 2024-04-16 | Antal: 3
Fil: del_108.txt | Datum: 2024-04-17 | Antal: 3
Fil: del_109.txt | Datum: 2024-04-18 | Antal: 0
Fil: del_11.txt | Datum: 2024-01-11 | Antal: 0
Fil: del_110.txt | Datum: 2024-04-19 | Antal: 0
Fil: del_111.txt | Datum: 2024-04-20 | Antal: 3
Fil: del_112.txt | Datum: 2024-04-21 | Antal: 0
Fil: del_113.txt | Datum: 22024-04-22 | Antal: 0
Fil: del_114.txt | Datum: 2024-04-23 | Antal: 3
Fil: del_115.txt | Datum: 2024-04-24 | Antal: 0
Fil: del_116.txt | Datum: 2024-04-25 | Antal: 0
Fil: del_117.txt | Datum: 2024-04-26 | Antal: 3
Fil: del_118.txt | Datum: 2024-04-27 | Antal: 3
Fil: del_119.txt | Datum: 2024-04-28 | Antal: 0
Fil: del_12.txt | Datum: 2024-01-12 | Antal: 3
Fil: del_120.txt | Datum: 2024-04-29 | Antal: 3
Fil: del_121.txt | Datum: 2024-04-30 | Antal: 3
Fil: del_122.txt | Datum: 2024-05-01 | Antal: 3
Fil: del_123.txt | Datum: 2024-05-02 | Antal: 3
Fil: del_124.txt | Datum: 2024-05-03 | Antal: 0
Fil: del_125.txt | Datum: 2024-05-04 | Antal: 0
Fil: del_126.txt | Datum: 2024-05-05 | Antal: 3
Fil: del_127.txt | Datum: 2024-05-06 | Antal: 0
Fil: del_128.txt | Datum: 2024-05-07 | Antal: 0
Fil: del_129.txt | Datum: 2024-05-08 | Antal: 3
Fil: del_13.txt | Datum: 2024-01-13 | Antal: 3
Fil: del_130.txt | Datum: 2024-05-09 | Antal: 0
Fil: del_131.txt | Datum: 2024-05-10 | Antal: 0
Fil: del_132.txt | Datum: 2024-05-11 | Antal: 3
Fil: del_133.txt | Datum: 2024-05-12 | Antal: 3
Fil: del_134.txt | Datum: 2024-05-13 | Antal: 0
Fil: del_135.txt | Datum: 2024-05-14 | Antal: 3
Fil: del_136.txt | Datum: 2024-05-15 | Antal: 3
Fil: del_137.txt | Datum: 2024-05-16 | Antal: 3
Fil: del_138.txt | Datum: 2024-05-17 | Antal: 3
Fil: del_139.txt | Datum: 2024-05-18 | Antal: 0
Fil: del_14.txt | Datum: 2024-01-14 | Antal: 0
Fil: del_140.txt | Datum: 2024-05-19 | Antal: 0
Fil: del_141.txt | Datum: 2024-05-20 | Antal: 3
Fil: del_142.txt | Datum: 2024-05-21 | Antal: 0
Fil: del_143.txt | Datum: 2024-05-22 | Antal: 0
Fil: del_144.txt | Datum: 2024-05-23 | Antal: 3
Fil: del_145.txt | Datum: 2024-05-24 | Antal: 0
Fil: del_146.txt | Datum: 2024-05-25 | Antal: 0
Fil: del_147.txt | Datum: 2024-05-26 | Antal: 3
Fil: del_148.txt | Datum: 2024-05-27 | Antal: 3
Fil: del_149.txt | Datum: 2024-05-28 | Antal: 0
Fil: del_15.txt | Datum: 2024-01-15 | Antal: 3
Fil: del_150.txt | Datum: 2024-05-29 | Antal: 3
Fil: del_16.txt | Datum: 2024-01-16 | Antal: 3
Fil: del_17.txt | Datum: 2024-01-17 | Antal: 3
Fil: del_18.txt | Datum: 2024-01-18 | Antal: 3
Fil: del_19.txt | Datum: 2024-01-19 | Antal: 0
Fil: del_20.txt | Datum: 2024-01-20 | Antal: 0
Fil: del_21.txt | Datum: 2024-01-21 | Antal: 3
Fil: del_22.txt | Datum: 2024-01-22 | Antal: 0
Fil: del_23.txt | Datum: 2024-01-23 | Antal: 0
Fil: del_24.txt | Datum: 2024-01-24 | Antal: 3
Fil: del_25.txt | Datum: 2024-01-25 | Antal: 0
Fil: del_26.txt | Datum: 2024-01-26 | Antal: 0
Fil: del_27.txt | Datum: 2024-01-27 | Antal: 3
Fil: del_28.txt | Datum: 2024-01-28 | Antal: 3
Fil: del_29.txt | Datum: 2024-01-29 | Antal: 0
Fil: del_30.txt | Datum: 2024-01-30 | Antal: 3
Fil: del_31.txt | Datum: 2024-01-31 | Antal: 3
Fil: del_32.txt | Datum: 2024-02-01 | Antal: 3
Fil: del_33.txt | Datum: 2024-02-02 | Antal: 3
Fil: del_34.txt | Datum: 2024-02-03 | Antal: 0
Fil: del_35.txt | Datum: 2024-02-04 | Antal: 0
